Header Size:  7
Version:  2
Sampling Interval:  0.005
Sampling Rate:  200
Sample Count:  31200
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, Events
         1,   04/29/2022 11:50:12.120 AM, -0.0015, -2.9931, DAQ Start
         2,   04/29/2022 11:50:12.125 AM, 0.0046, -2.9931
         3,   04/29/2022 11:50:12.130 AM, -0.0015, -2.9931
         4,   04/29/2022 11:50:12.135 AM, 0.0046, -2.9931
         5,   04/29/2022 11:50:12.140 AM, -0.0015, -2.9931
         6,   04/29/2022 11:50:12.145 AM, 0.0046, -2.9931
         7,   04/29/2022 11:50:12.150 AM, 0.0046, -2.9931
         8,   04/29/2022 11:50:12.155 AM, 0.0046, -2.9931
         9,   04/29/2022 11:50:12.160 AM, 0.0046, -2.9931
        10,   04/29/2022 11:50:12.165 AM, 0.0046, -2.9934
        11,   04/29/2022 11:50:12.170 AM, -0.0015, -2.9934
        12,   04/29/2022 11:50:12.175 AM, 0.0046, -2.9931
        13,   04/29/2022 11:50:12.180 AM, 0.0046, -2.9931
        14,   04/29/2022 11:50:12.185 AM, -0.0015, -2.9931
        15,   04/29/2022 11:50:12.190 AM, 0.0046, -2.9928
        16,   04/29/2022 11:50:12.195 AM, 0.0046, -2.9931
        17,   04/29/2022 11:50:12.200 AM, 0.0046, -2.9931
        18,   04/29/2022 11:50:12.205 AM, 0.0046, -2.9931
        19,   04/29/2022 11:50:12.210 AM, 0.0076, -2.9931
        20,   04/29/2022 11:50:12.215 AM, 0.0076, -2.9931
        21,   04/29/2022 11:50:12.220 AM, 0.0046, -2.9931
        22,   04/29/2022 11:50:12.225 AM, 0.0076, -2.9931
        23,   04/29/2022 11:50:12.230 AM, -0.0015, -2.9928
        24,   04/29/2022 11:50:12.235 AM, 0.0046, -2.9931
        25,   04/29/2022 11:50:12.240 AM, 0.0046, -2.9928
        26,   04/29/2022 11:50:12.245 AM, -0.0015, -2.9931
        27,   04/29/2022 11:50:12.250 AM, 0.0046, -2.9928
        28,   04/29/2022 11:50:12.255 AM, 0.0046, -2.9928
        29,   04/29/2022 11:50:12.260 AM, 0.0076, -2.9931
        30,   04/29/2022 11:50:12.265 AM, 0.0046, -2.9931
        31,   04/29/2022 11:50:12.270 AM, 0.0046, -2.9931
        32,   04/29/2022 11:50:12.275 AM, -0.0046, -2.9931
        33,   04/29/2022 11:50:12.280 AM, -0.0015, -2.9931
        34,   04/29/2022 11:50:12.285 AM, 0.0046, -2.9931
        35,   04/29/2022 11:50:12.290 AM, 0.0046, -2.9931
        36,   04/29/2022 11:50:12.295 AM, 0.0046, -2.9931
        37,   04/29/2022 11:50:12.300 AM, 0.0046, -2.9934
        38,   04/29/2022 11:50:12.305 AM, 0.0046, -2.9931
        39,   04/29/2022 11:50:12.310 AM, 0.0046, -2.9931
        40,   04/29/2022 11:50:12.315 AM, -0.0015, -2.9931
        41,   04/29/2022 11:50:12.320 AM, -0.0015, -2.9931
        42,   04/29/2022 11:50:12.325 AM, -0.0015, -2.9931
        43,   04/29/2022 11:50:12.330 AM, -0.0015, -2.9928
        44,   04/29/2022 11:50:12.335 AM, -0.0015, -2.9931
        45,   04/29/2022 11:50:12.340 AM, -0.0015, -2.9931
        46,   04/29/2022 11:50:12.345 AM, 0.0046, -2.9934
        47,   04/29/2022 11:50:12.350 AM, 0.0046, -2.9931
        48,   04/29/2022 11:50:12.355 AM, -0.0015, -2.9931
        49,   04/29/2022 11:50:12.360 AM, -0.0015, -2.9931
        50,   04/29/2022 11:50:12.365 AM, -0.0015, -2.9931
        51,   04/29/2022 11:50:12.370 AM, 0.0046, -2.9931
        52,   04/29/2022 11:50:12.375 AM, 0.0046, -2.9931
        53,   04/29/2022 11:50:12.380 AM, 0.0046, -2.9931
        54,   04/29/2022 11:50:12.385 AM, 0.0046, -2.9928
        55,   04/29/2022 11:50:12.390 AM, 0.0046, -2.9931
        56,   04/29/2022 11:50:12.395 AM, -0.0015, -2.9931
        57,   04/29/2022 11:50:12.400 AM, -0.0015, -2.9931
        58,   04/29/2022 11:50:12.405 AM, -0.0015, -2.9934
        59,   04/29/2022 11:50:12.410 AM, 0.0046, -2.9931
        60,   04/29/2022 11:50:12.415 AM, -0.0015, -2.9931
        61,   04/29/2022 11:50:12.420 AM, 0.0046, -2.9931
        62,   04/29/2022 11:50:12.425 AM, 0.0046, -2.9931
        63,   04/29/2022 11:50:12.430 AM, -0.0015, -2.9931
        64,   04/29/2022 11:50:12.435 AM, 0.0046, -2.9931
        65,   04/29/2022 11:50:12.440 AM, 0.0046, -2.9931
        66,   04/29/2022 11:50:12.445 AM, 0.0046, -2.9931
        67,   04/29/2022 11:50:12.450 AM, -0.0015, -2.9931
        68,   04/29/2022 11:50:12.455 AM, 0.0046, -2.9931
        69,   04/29/2022 11:50:12.460 AM, 0.0046, -2.9931
        70,   04/29/2022 11:50:12.465 AM, 0.0046, -2.9931
        71,   04/29/2022 11:50:12.470 AM, 0.0076, -2.9931
        72,   04/29/2022 11:50:12.475 AM, -0.0015, -2.9928
        73,   04/29/2022 11:50:12.480 AM, -0.0015, -2.9931
        74,   04/29/2022 11:50:12.485 AM, -0.0015, -2.9931
        75,   04/29/2022 11:50:12.490 AM, -0.0015, -2.9931
        76,   04/29/2022 11:50:12.495 AM, 0.0046, -2.9931
        77,   04/29/2022 11:50:12.500 AM, 0.0076, -2.9931
        78,   04/29/2022 11:50:12.505 AM, 0.0046, -2.9931
        79,   04/29/2022 11:50:12.510 AM, 0.0046, -2.9931
        80,   04/29/2022 11:50:12.515 AM, -0.0015, -2.9928
        81,   04/29/2022 11:50:12.520 AM, -0.0015, -2.9931
        82,   04/29/2022 11:50:12.525 AM, 0.0046, -2.9931
        83,   04/29/2022 11:50:12.530 AM, 0.0046, -2.9934
        84,   04/29/2022 11:50:12.535 AM, 0.0046, -2.9931
        85,   04/29/2022 11:50:12.540 AM, 0.0046, -2.9931
        86,   04/29/2022 11:50:12.545 AM, 0.0046, -2.9931
        87,   04/29/2022 11:50:12.550 AM, 0.0046, -2.9931
        88,   04/29/2022 11:50:12.555 AM, 0.0046, -2.9928
        89,   04/29/2022 11:50:12.560 AM, 0.0076, -2.9928
        90,   04/29/2022 11:50:12.565 AM, -0.0015, -2.9931
        91,   04/29/2022 11:50:12.570 AM, 0.0046, -2.9931
        92,   04/29/2022 11:50:12.575 AM, -0.0015, -2.9931
        93,   04/29/2022 11:50:12.580 AM, 0.0046, -2.9931
        94,   04/29/2022 11:50:12.585 AM, 0.0046, -2.9931
        95,   04/29/2022 11:50:12.590 AM, 0.0046, -2.9931
        96,   04/29/2022 11:50:12.595 AM, 0.0046, -2.9928
        97,   04/29/2022 11:50:12.600 AM, 0.0046, -2.9931
        98,   04/29/2022 11:50:12.605 AM, -0.0015, -2.9931
        99,   04/29/2022 11:50:12.610 AM, -0.0015, -2.9931
       100,   04/29/2022 11:50:12.615 AM, -0.0015, -2.9931
       101,   04/29/2022 11:50:12.620 AM, -0.0015, -2.9931
       102,   04/29/2022 11:50:12.625 AM, 0.0046, -2.9931
       103,   04/29/2022 11:50:12.630 AM, 0.0046, -2.9931
       104,   04/29/2022 11:50:12.635 AM, 0.0046, -2.9928
       105,   04/29/2022 11:50:12.640 AM, -0.0015, -2.9931
       106,   04/29/2022 11:50:12.645 AM, 0.0046, -2.9934
       107,   04/29/2022 11:50:12.650 AM, -0.0015, -2.9928
       108,   04/29/2022 11:50:12.655 AM, 0.0046, -2.9931
       109,   04/29/2022 11:50:12.660 AM, 0.0046, -2.9931
       110,   04/29/2022 11:50:12.665 AM, -0.0015, -2.9931
       111,   04/29/2022 11:50:12.670 AM, 0.0046, -2.9931
       112,   04/29/2022 11:50:12.675 AM, 0.0046, -2.9931
       113,   04/29/2022 11:50:12.680 AM, -0.0015, -2.9928
       114,   04/29/2022 11:50:12.685 AM, 0.0076, -2.9928
       115,   04/29/2022 11:50:12.690 AM, 0.0046, -2.9931
       116,   04/29/2022 11:50:12.695 AM, -0.0015, -2.9931
       117,   04/29/2022 11:50:12.700 AM, -0.0015, -2.9931
       118,   04/29/2022 11:50:12.705 AM, -0.0015, -2.9931
       119,   04/29/2022 11:50:12.710 AM, 0.0046, -2.9931
       120,   04/29/2022 11:50:12.715 AM, 0.0076, -2.9931
       121,   04/29/2022 11:50:12.720 AM, -0.0015, -2.9931
       122,   04/29/2022 11:50:12.725 AM, 0.0046, -2.9928
       123,   04/29/2022 11:50:12.730 AM, 0.0046, -2.9931
       124,   04/29/2022 11:50:12.735 AM, -0.0015, -2.9931
       125,   04/29/2022 11:50:12.740 AM, -0.0015, -2.9931
       126,   04/29/2022 11:50:12.745 AM, 0.0046, -2.9931
       127,   04/29/2022 11:50:12.750 AM, -0.0015, -2.9931
       128,   04/29/2022 11:50:12.755 AM, 0.0076, -2.9931
       129,   04/29/2022 11:50:12.760 AM, 0.0076, -2.9931
       130,   04/29/2022 11:50:12.765 AM, 0.0046, -2.9931
       131,   04/29/2022 11:50:12.770 AM, -0.0015, -2.9931
       132,   04/29/2022 11:50:12.775 AM, -0.0015, -2.9931
       133,   04/29/2022 11:50:12.780 AM, 0.0046, -2.9931
       134,   04/29/2022 11:50:12.785 AM, 0.0046, -2.9928
       135,   04/29/2022 11:50:12.790 AM, 0.0046, -2.9931
       136,   04/29/2022 11:50:12.795 AM, 0.0046, -2.9931
       137,   04/29/2022 11:50:12.800 AM, -0.0015, -2.9931
       138,   04/29/2022 11:50:12.805 AM, 0.0046, -2.9931
       139,   04/29/2022 11:50:12.810 AM, -0.0015, -2.9931
       140,   04/29/2022 11:50:12.815 AM, -0.0015, -2.9931
       141,   04/29/2022 11:50:12.820 AM, 0.0046, -2.9928
       142,   04/29/2022 11:50:12.825 AM, -0.0015, -2.9931
       143,   04/29/2022 11:50:12.830 AM, 0.0046, -2.9931
       144,   04/29/2022 11:50:12.835 AM, 0.0046, -2.9931
       145,   04/29/2022 11:50:12.840 AM, -0.0015, -2.9928
       146,   04/29/2022 11:50:12.845 AM, -0.0015, -2.9931
       147,   04/29/2022 11:50:12.850 AM, -0.0015, -2.9928
       148,   04/29/2022 11:50:12.855 AM, 0.0046, -2.9931
       149,   04/29/2022 11:50:12.860 AM, -0.0015, -2.9931
       150,   04/29/2022 11:50:12.865 AM, 0.0046, -2.9931
       151,   04/29/2022 11:50:12.870 AM, -0.0015, -2.9934
       152,   04/29/2022 11:50:12.875 AM, 0.0046, -2.9931
       153,   04/29/2022 11:50:12.880 AM, -0.0015, -2.9931
       154,   04/29/2022 11:50:12.885 AM, 0.0046, -2.9931
