Header Size:  7
Version:  2
Sampling Interval:  0.005
Sampling Rate:  200
Sample Count:  7420
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, Events
         1,   04/29/2022 12:11:14.596 PM, 0.0259, -2.9931, DAQ Start
         2,   04/29/2022 12:11:14.601 PM, 0.0259, -2.9934
         3,   04/29/2022 12:11:14.606 PM, 0.0198, -2.9934
         4,   04/29/2022 12:11:14.611 PM, 0.0259, -2.9934
         5,   04/29/2022 12:11:14.616 PM, 0.0259, -2.9934
         6,   04/29/2022 12:11:14.621 PM, 0.0259, -2.9934
         7,   04/29/2022 12:11:14.626 PM, 0.0290, -2.9931
         8,   04/29/2022 12:11:14.631 PM, 0.0259, -2.9934
         9,   04/29/2022 12:11:14.636 PM, 0.0259, -2.9931
        10,   04/29/2022 12:11:14.641 PM, 0.0259, -2.9931
        11,   04/29/2022 12:11:14.646 PM, 0.0259, -2.9931
        12,   04/29/2022 12:11:14.651 PM, 0.0259, -2.9931
        13,   04/29/2022 12:11:14.656 PM, 0.0259, -2.9931
        14,   04/29/2022 12:11:14.661 PM, 0.0259, -2.9931
        15,   04/29/2022 12:11:14.666 PM, 0.0259, -2.9931
        16,   04/29/2022 12:11:14.671 PM, 0.0259, -2.9931
        17,   04/29/2022 12:11:14.676 PM, 0.0259, -2.9931
        18,   04/29/2022 12:11:14.681 PM, 0.0259, -2.9931
        19,   04/29/2022 12:11:14.686 PM, 0.0290, -2.9934
        20,   04/29/2022 12:11:14.691 PM, 0.0290, -2.9934
        21,   04/29/2022 12:11:14.696 PM, 0.0290, -2.9931
        22,   04/29/2022 12:11:14.701 PM, 0.0290, -2.9931
        23,   04/29/2022 12:11:14.706 PM, 0.0259, -2.9931
        24,   04/29/2022 12:11:14.711 PM, 0.0290, -2.9931
        25,   04/29/2022 12:11:14.716 PM, 0.0290, -2.9931
        26,   04/29/2022 12:11:14.721 PM, 0.0290, -2.9928
        27,   04/29/2022 12:11:14.726 PM, 0.0290, -2.9931
        28,   04/29/2022 12:11:14.731 PM, 0.0290, -2.9931
        29,   04/29/2022 12:11:14.736 PM, 0.0290, -2.9931
        30,   04/29/2022 12:11:14.741 PM, 0.0259, -2.9931
        31,   04/29/2022 12:11:14.746 PM, 0.0259, -2.9931
        32,   04/29/2022 12:11:14.751 PM, 0.0290, -2.9934
        33,   04/29/2022 12:11:14.756 PM, 0.0259, -2.9931
        34,   04/29/2022 12:11:14.761 PM, 0.0259, -2.9931
        35,   04/29/2022 12:11:14.766 PM, 0.0259, -2.9931
        36,   04/29/2022 12:11:14.771 PM, 0.0290, -2.9928
        37,   04/29/2022 12:11:14.776 PM, 0.0320, -2.9931
        38,   04/29/2022 12:11:14.781 PM, 0.0290, -2.9931
        39,   04/29/2022 12:11:14.786 PM, 0.0259, -2.9931
        40,   04/29/2022 12:11:14.791 PM, 0.0290, -2.9931
        41,   04/29/2022 12:11:14.796 PM, 0.0290, -2.9931
        42,   04/29/2022 12:11:14.801 PM, 0.0290, -2.9928
        43,   04/29/2022 12:11:14.806 PM, 0.0290, -2.9931
        44,   04/29/2022 12:11:14.811 PM, 0.0290, -2.9928
        45,   04/29/2022 12:11:14.816 PM, 0.0290, -2.9931
        46,   04/29/2022 12:11:14.821 PM, 0.0320, -2.9931
        47,   04/29/2022 12:11:14.826 PM, 0.0259, -2.9934
        48,   04/29/2022 12:11:14.831 PM, 0.0290, -2.9934
        49,   04/29/2022 12:11:14.836 PM, 0.0259, -2.9931
        50,   04/29/2022 12:11:14.841 PM, 0.0259, -2.9931
        51,   04/29/2022 12:11:14.846 PM, 0.0290, -2.9931
        52,   04/29/2022 12:11:14.851 PM, 0.0290, -2.9931
        53,   04/29/2022 12:11:14.856 PM, 0.0290, -2.9931
        54,   04/29/2022 12:11:14.861 PM, 0.0290, -2.9931
        55,   04/29/2022 12:11:14.866 PM, 0.0290, -2.9931
        56,   04/29/2022 12:11:14.871 PM, 0.0290, -2.9931
        57,   04/29/2022 12:11:14.876 PM, 0.0290, -2.9931
        58,   04/29/2022 12:11:14.881 PM, 0.0259, -2.9931
        59,   04/29/2022 12:11:14.886 PM, 0.0290, -2.9931
        60,   04/29/2022 12:11:14.891 PM, 0.0290, -2.9928
        61,   04/29/2022 12:11:14.896 PM, 0.0290, -2.9931
        62,   04/29/2022 12:11:14.901 PM, 0.0290, -2.9931
        63,   04/29/2022 12:11:14.906 PM, 0.0290, -2.9931
        64,   04/29/2022 12:11:14.911 PM, 0.0259, -2.9931
        65,   04/29/2022 12:11:14.916 PM, 0.0290, -2.9931
        66,   04/29/2022 12:11:14.921 PM, 0.0320, -2.9931
        67,   04/29/2022 12:11:14.926 PM, 0.0290, -2.9931
        68,   04/29/2022 12:11:14.931 PM, 0.0259, -2.9931
        69,   04/29/2022 12:11:14.936 PM, 0.0290, -2.9931
        70,   04/29/2022 12:11:14.941 PM, 0.0290, -2.9931
        71,   04/29/2022 12:11:14.946 PM, 0.0290, -2.9934
        72,   04/29/2022 12:11:14.951 PM, 0.0320, -2.9931
        73,   04/29/2022 12:11:14.956 PM, 0.0290, -2.9931
        74,   04/29/2022 12:11:14.961 PM, 0.0290, -2.9931
        75,   04/29/2022 12:11:14.966 PM, 0.0290, -2.9931
        76,   04/29/2022 12:11:14.971 PM, 0.0290, -2.9931
        77,   04/29/2022 12:11:14.976 PM, 0.0320, -2.9931
        78,   04/29/2022 12:11:14.981 PM, 0.0259, -2.9931
        79,   04/29/2022 12:11:14.986 PM, 0.0290, -2.9931
        80,   04/29/2022 12:11:14.991 PM, 0.0290, -2.9931
        81,   04/29/2022 12:11:14.996 PM, 0.0290, -2.9931
        82,   04/29/2022 12:11:15.001 PM, 0.0290, -2.9931
        83,   04/29/2022 12:11:15.006 PM, 0.0320, -2.9931
        84,   04/29/2022 12:11:15.011 PM, 0.0290, -2.9934
        85,   04/29/2022 12:11:15.016 PM, 0.0290, -2.9931
        86,   04/29/2022 12:11:15.021 PM, 0.0320, -2.9931
        87,   04/29/2022 12:11:15.026 PM, 0.0290, -2.9934
        88,   04/29/2022 12:11:15.031 PM, 0.0290, -2.9931
        89,   04/29/2022 12:11:15.036 PM, 0.0290, -2.9931
        90,   04/29/2022 12:11:15.041 PM, 0.0290, -2.9931
        91,   04/29/2022 12:11:15.046 PM, 0.0290, -2.9931
        92,   04/29/2022 12:11:15.051 PM, 0.0290, -2.9931
        93,   04/29/2022 12:11:15.056 PM, 0.0290, -2.9931
        94,   04/29/2022 12:11:15.061 PM, 0.0290, -2.9931
        95,   04/29/2022 12:11:15.066 PM, 0.0320, -2.9931
        96,   04/29/2022 12:11:15.071 PM, 0.0320, -2.9931
        97,   04/29/2022 12:11:15.076 PM, 0.0290, -2.9931
        98,   04/29/2022 12:11:15.081 PM, 0.0290, -2.9931
        99,   04/29/2022 12:11:15.086 PM, 0.0290, -2.9931
       100,   04/29/2022 12:11:15.091 PM, 0.0259, -2.9931
       101,   04/29/2022 12:11:15.096 PM, 0.0290, -2.9934
       102,   04/29/2022 12:11:15.101 PM, 0.0320, -2.9931
       103,   04/29/2022 12:11:15.106 PM, 0.0290, -2.9931
       104,   04/29/2022 12:11:15.111 PM, 0.0259, -2.9931
       105,   04/29/2022 12:11:15.116 PM, 0.0290, -2.9934
       106,   04/29/2022 12:11:15.121 PM, 0.0320, -2.9931
       107,   04/29/2022 12:11:15.126 PM, 0.0290, -2.9931
       108,   04/29/2022 12:11:15.131 PM, 0.0259, -2.9931
       109,   04/29/2022 12:11:15.136 PM, 0.0290, -2.9931
       110,   04/29/2022 12:11:15.141 PM, 0.0290, -2.9931
       111,   04/29/2022 12:11:15.146 PM, 0.0290, -2.9931
       112,   04/29/2022 12:11:15.151 PM, 0.0320, -2.9931
       113,   04/29/2022 12:11:15.156 PM, 0.0290, -2.9931
       114,   04/29/2022 12:11:15.161 PM, 0.0259, -2.9934
       115,   04/29/2022 12:11:15.166 PM, 0.0290, -2.9931
       116,   04/29/2022 12:11:15.171 PM, 0.0259, -2.9934
       117,   04/29/2022 12:11:15.176 PM, 0.0290, -2.9931
       118,   04/29/2022 12:11:15.181 PM, 0.0290, -2.9931
       119,   04/29/2022 12:11:15.186 PM, 0.0290, -2.9931
       120,   04/29/2022 12:11:15.191 PM, 0.0320, -2.9931
       121,   04/29/2022 12:11:15.196 PM, 0.0320, -2.9931
       122,   04/29/2022 12:11:15.201 PM, 0.0290, -2.9931
       123,   04/29/2022 12:11:15.206 PM, 0.0290, -2.9931
       124,   04/29/2022 12:11:15.211 PM, 0.0290, -2.9934
       125,   04/29/2022 12:11:15.216 PM, 0.0320, -2.9934
       126,   04/29/2022 12:11:15.221 PM, 0.0290, -2.9931
       127,   04/29/2022 12:11:15.226 PM, 0.0290, -2.9931
       128,   04/29/2022 12:11:15.231 PM, 0.0290, -2.9931
       129,   04/29/2022 12:11:15.236 PM, 0.0290, -2.9931
       130,   04/29/2022 12:11:15.241 PM, 0.0290, -2.9931
       131,   04/29/2022 12:11:15.246 PM, 0.0290, -2.9931
       132,   04/29/2022 12:11:15.251 PM, 0.0290, -2.9931
       133,   04/29/2022 12:11:15.256 PM, 0.0290, -2.9931
       134,   04/29/2022 12:11:15.261 PM, 0.0290, -2.9931
       135,   04/29/2022 12:11:15.266 PM, 0.0290, -2.9931
       136,   04/29/2022 12:11:15.271 PM, 0.0290, -2.9931
       137,   04/29/2022 12:11:15.276 PM, 0.0259, -2.9931
       138,   04/29/2022 12:11:15.281 PM, 0.0259, -2.9934
       139,   04/29/2022 12:11:15.286 PM, 0.0290, -2.9931
       140,   04/29/2022 12:11:15.291 PM, 0.0290, -2.9931
       141,   04/29/2022 12:11:15.296 PM, 0.0320, -2.9931
       142,   04/29/2022 12:11:15.301 PM, 0.0290, -2.9931
       143,   04/29/2022 12:11:15.306 PM, 0.0290, -2.9931
       144,   04/29/2022 12:11:15.311 PM, 0.0320, -2.9931
       145,   04/29/2022 12:11:15.316 PM, 0.0259, -2.9931
       146,   04/29/2022 12:11:15.321 PM, 0.0290, -2.9931
       147,   04/29/2022 12:11:15.326 PM, 0.0290, -2.9931
       148,   04/29/2022 12:11:15.331 PM, 0.0290, -2.9931
       149,   04/29/2022 12:11:15.336 PM, 0.0290, -2.9931
       150,   04/29/2022 12:11:15.341 PM, 0.0259, -2.9931
       151,   04/29/2022 12:11:15.346 PM, 0.0290, -2.9931
       152,   04/29/2022 12:11:15.351 PM, 0.0290, -2.9934
       153,   04/29/2022 12:11:15.356 PM, 0.0290, -2.9931
       154,   04/29/2022 12:11:15.361 PM, 0.0290, -2.9931
