Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  31300
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, Events
         1,   05/13/2022 05:06:51.728 PM, -2.9928, 0.0107, DAQ Start
         2,   05/13/2022 05:06:51.729 PM, -2.9924, 0.0107
         3,   05/13/2022 05:06:51.730 PM, -2.9924, 0.0107
         4,   05/13/2022 05:06:51.731 PM, -2.9924, 0.0107
         5,   05/13/2022 05:06:51.732 PM, -2.9924, 0.0107
         6,   05/13/2022 05:06:51.733 PM, -2.9924, 0.0107
         7,   05/13/2022 05:06:51.734 PM, -2.9924, 0.0137
         8,   05/13/2022 05:06:51.735 PM, -2.9924, 0.0107
         9,   05/13/2022 05:06:51.736 PM, -2.9924, 0.0137
        10,   05/13/2022 05:06:51.737 PM, -2.9924, 0.0107
        11,   05/13/2022 05:06:51.738 PM, -2.9924, 0.0137
        12,   05/13/2022 05:06:51.739 PM, -2.9924, 0.0137
        13,   05/13/2022 05:06:51.740 PM, -2.9924, 0.0107
        14,   05/13/2022 05:06:51.741 PM, -2.9924, 0.0107
        15,   05/13/2022 05:06:51.742 PM, -2.9924, 0.0137
        16,   05/13/2022 05:06:51.743 PM, -2.9924, 0.0107
        17,   05/13/2022 05:06:51.744 PM, -2.9924, 0.0107
        18,   05/13/2022 05:06:51.745 PM, -2.9924, 0.0107
        19,   05/13/2022 05:06:51.746 PM, -2.9928, 0.0107
        20,   05/13/2022 05:06:51.747 PM, -2.9928, 0.0137
        21,   05/13/2022 05:06:51.748 PM, -2.9928, 0.0137
        22,   05/13/2022 05:06:51.749 PM, -2.9924, 0.0137
        23,   05/13/2022 05:06:51.750 PM, -2.9928, 0.0107
        24,   05/13/2022 05:06:51.751 PM, -2.9928, 0.0107
        25,   05/13/2022 05:06:51.752 PM, -2.9928, 0.0107
        26,   05/13/2022 05:06:51.753 PM, -2.9928, 0.0107
        27,   05/13/2022 05:06:51.754 PM, -2.9924, 0.0137
        28,   05/13/2022 05:06:51.755 PM, -2.9924, 0.0137
        29,   05/13/2022 05:06:51.756 PM, -2.9928, 0.0137
        30,   05/13/2022 05:06:51.757 PM, -2.9924, 0.0107
        31,   05/13/2022 05:06:51.758 PM, -2.9924, 0.0107
