Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  46800
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, CHANNEL2, Events
         1,   05/25/2022 05:46:08.066 PM, 0.0066, 0.0107, 0.0021, DAQ Start
         2,   05/25/2022 05:46:08.067 PM, 0.0072, 0.0076, 0.0022
         3,   05/25/2022 05:46:08.068 PM, 0.0066, 0.0076, 0.0022
         4,   05/25/2022 05:46:08.069 PM, 0.0072, 0.0137, 0.0021
         5,   05/25/2022 05:46:08.070 PM, 0.0072, 0.0076, 0.0021
         6,   05/25/2022 05:46:08.071 PM, 0.0072, 0.0076, 0.0021
         7,   05/25/2022 05:46:08.072 PM, 0.0072, 0.0137, 0.0022
         8,   05/25/2022 05:46:08.073 PM, 0.0072, 0.0107, 0.0021
         9,   05/25/2022 05:46:08.074 PM, 0.0075, 0.0107, 0.0021
        10,   05/25/2022 05:46:08.075 PM, 0.0072, 0.0107, 0.0022
        11,   05/25/2022 05:46:08.076 PM, 0.0072, 0.0107, 0.0022
        12,   05/25/2022 05:46:08.077 PM, 0.0072, 0.0137, 0.0021
        13,   05/25/2022 05:46:08.078 PM, 0.0072, 0.0107, 0.0022
        14,   05/25/2022 05:46:08.079 PM, 0.0066, 0.0076, 0.0022
        15,   05/25/2022 05:46:08.080 PM, 0.0066, 0.0107, 0.0022
        16,   05/25/2022 05:46:08.081 PM, 0.0063, 0.0076, 0.0022
        17,   05/25/2022 05:46:08.082 PM, 0.0063, 0.0076, 0.0022
        18,   05/25/2022 05:46:08.083 PM, 0.0066, 0.0076, 0.0022
        19,   05/25/2022 05:46:08.084 PM, 0.0066, 0.0107, 0.0022
        20,   05/25/2022 05:46:08.085 PM, 0.0066, 0.0076, 0.0021
        21,   05/25/2022 05:46:08.086 PM, 0.0066, 0.0107, 0.0022
        22,   05/25/2022 05:46:08.087 PM, 0.0066, 0.0076, 0.0022
        23,   05/25/2022 05:46:08.088 PM, 0.0066, 0.0107, 0.0022
        24,   05/25/2022 05:46:08.089 PM, 0.0072, 0.0107, 0.0022
        25,   05/25/2022 05:46:08.090 PM, 0.0066, 0.0076, 0.0021
        26,   05/25/2022 05:46:08.091 PM, 0.0072, 0.0137, 0.0022
