Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  48000
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, CHANNEL2, Events
        78,   05/25/2022 05:50:06.603 PM, 0.0044, 0.0046, 0.0022
        79,   05/25/2022 05:50:06.604 PM, 0.0041, 0.0015, 0.0022
        80,   05/25/2022 05:50:06.605 PM, 0.0044, 0.0076, 0.0021
        81,   05/25/2022 05:50:06.606 PM, 0.0044, 0.0046, 0.0021
        82,   05/25/2022 05:50:06.607 PM, 0.0050, 0.0046, 0.0021
        83,   05/25/2022 05:50:06.608 PM, 0.0041, 0.0015, 0.0021
        84,   05/25/2022 05:50:06.609 PM, 0.0041, 0.0046, 0.0021
        85,   05/25/2022 05:50:06.610 PM, 0.0041, 0.0015, 0.0022
        86,   05/25/2022 05:50:06.611 PM, 0.0041, 0.0015, 0.0021
        87,   05/25/2022 05:50:06.612 PM, 0.0041, 0.0015, 0.0022
        88,   05/25/2022 05:50:06.613 PM, 0.0044, 0.0046, 0.0021
        89,   05/25/2022 05:50:06.614 PM, 0.0044, 0.0046, 0.0022
        90,   05/25/2022 05:50:06.615 PM, 0.0044, 0.0015, 0.0021
        91,   05/25/2022 05:50:06.616 PM, 0.0041, 0.0015, 0.0022
        92,   05/25/2022 05:50:06.617 PM, 0.0038, 0.0015, 0.0021
        93,   05/25/2022 05:50:06.618 PM, 0.0044, 0.0046, 0.0021
        94,   05/25/2022 05:50:06.619 PM, 0.0041, 0.0015, 0.0022
        95,   05/25/2022 05:50:06.620 PM, 0.0050, 0.0046, 0.0022
        96,   05/25/2022 05:50:06.621 PM, 0.0044, 0.0046, 0.0021
        97,   05/25/2022 05:50:06.622 PM, 0.0044, 0.0046, 0.0021
        98,   05/25/2022 05:50:06.623 PM, 0.0044, 0.0046, 0.0022
        99,   05/25/2022 05:50:06.624 PM, 0.0041, 0.0046, 0.0022
       100,   05/25/2022 05:50:06.625 PM, 0.0044, 0.0015, 0.0021
       101,   05/25/2022 05:50:06.626 PM, 0.0044, 0.0046, 0.0021
       102,   05/25/2022 05:50:06.627 PM, 0.0044, 0.0076, 0.0021
       103,   05/25/2022 05:50:06.628 PM, 0.0041, 0.0015, 0.0022
       104,   05/25/2022 05:50:06.629 PM, 0.0044, 0.0046, 0.0022
       105,   05/25/2022 05:50:06.630 PM, 0.0041, 0.0015, 0.0021
       106,   05/25/2022 05:50:06.631 PM, 0.0041, 0.0046, 0.0022
       107,   05/25/2022 05:50:06.632 PM, 0.0041, 0.0015, 0.0022
       108,   05/25/2022 05:50:06.633 PM, 0.0041, 0.0015, 0.0022
       109,   05/25/2022 05:50:06.634 PM, 0.0041, 0.0046, 0.0021
       110,   05/25/2022 05:50:06.635 PM, 0.0044, 0.0015, 0.0022
       111,   05/25/2022 05:50:06.636 PM, 0.0041, 0.0015, 0.0021
       112,   05/25/2022 05:50:06.637 PM, 0.0044, 0.0046, 0.0022
       113,   05/25/2022 05:50:06.638 PM, 0.0044, 0.0046, 0.0021
       114,   05/25/2022 05:50:06.639 PM, 0.0050, 0.0015, 0.0021
       115,   05/25/2022 05:50:06.640 PM, 0.0044, 0.0046, 0.0021
       116,   05/25/2022 05:50:06.641 PM, 0.0044, 0.0015, 0.0021
       117,   05/25/2022 05:50:06.642 PM, 0.0044, 0.0046, 0.0022
