Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  51900
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, CHANNEL2, Events
        78,   05/25/2022 05:48:06.169 PM, 0.0053, -0.0015, 0.0021
        79,   05/25/2022 05:48:06.170 PM, 0.0050, -0.0015, 0.0022
        80,   05/25/2022 05:48:06.171 PM, 0.0053, -0.0015, 0.0021
        81,   05/25/2022 05:48:06.172 PM, 0.0053, -0.0015, 0.0022
        82,   05/25/2022 05:48:06.173 PM, 0.0053, -0.0046, 0.0022
        83,   05/25/2022 05:48:06.174 PM, 0.0053, -0.0046, 0.0022
        84,   05/25/2022 05:48:06.175 PM, 0.0050, -0.0046, 0.0022
        85,   05/25/2022 05:48:06.176 PM, 0.0050, -0.0046, 0.0022
        86,   05/25/2022 05:48:06.177 PM, 0.0050, -0.0107, 0.0022
        87,   05/25/2022 05:48:06.178 PM, 0.0050, -0.0107, 0.0022
        88,   05/25/2022 05:48:06.179 PM, 0.0050, -0.0107, 0.0022
        89,   05/25/2022 05:48:06.180 PM, 0.0050, -0.0107, 0.0022
        90,   05/25/2022 05:48:06.181 PM, 0.0044, -0.0107, 0.0022
        91,   05/25/2022 05:48:06.182 PM, 0.0041, -0.0137, 0.0021
        92,   05/25/2022 05:48:06.183 PM, 0.0050, -0.0107, 0.0021
        93,   05/25/2022 05:48:06.184 PM, 0.0050, -0.0046, 0.0021
        94,   05/25/2022 05:48:06.185 PM, 0.0050, -0.0046, 0.0021
        95,   05/25/2022 05:48:06.186 PM, 0.0053, -0.0046, 0.0021
        96,   05/25/2022 05:48:06.187 PM, 0.0053, -0.0015, 0.0021
        97,   05/25/2022 05:48:06.188 PM, 0.0050, -0.0046, 0.0021
        98,   05/25/2022 05:48:06.189 PM, 0.0053, -0.0046, 0.0021
        99,   05/25/2022 05:48:06.190 PM, 0.0050, -0.0015, 0.0022
       100,   05/25/2022 05:48:06.191 PM, 0.0056, -0.0046, 0.0021
